ID,response,IL1,IL2,IL3,IL4,CIL1,CIL2,CIL3,CLI4,prime,score1,score2,score3,score4,score5,contact_type,day,hour,device
4569,1,Account Assistance / Mycd Settings,Payment Assistance,1-Click Setup,C. Education - Instructions Provided,null,null,null,null,0,0.05,null,null,null,null,null,3,8,D-51
4402,0,Freetime,Freetime Unlimited / Subscription,Refund,null,null,null,null,null,0,0.1,null,null,null,null,null,3,4,D-37
9533,0,Content,Content Quality,Corrupt - Won'T Open,Updated Content,null,null,null,null,1,2,null,null,null,null,null,0,15,D-24
9981,0,Kindle Tablet,Alexa On Tablet,Basic Info / How-To,C. Education - General Info,null,null,null,null,0,0,null,null,null,null,null,1,8,D-16
1849,0,Content,Book Syncing & Download Issues,Stuck In To Do Queue,Hard Restart - Fixed Issue,null,null,null,null,0,1.25,null,null,null,null,null,5,7,D-6
10155,0,Account Assistance / Mycd Settings,Other Account/Mycd Assistance,Other Account Maintenance,C. Education,null,null,null,null,0,0,0.165075511,0,0,-1,0,3,10,D-53
12243,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,Prime Or Something Else,Unknown Charge,null,null,1,0.4,null,null,null,null,null,4,8,D-62
249,0,Reading App,Feedback,General Experience,Kindle Cloud Reader,null,null,null,null,1,1,0.165075511,0,0,-1,0,3,16,D-38
12984,0,Kindle Store,Kindle Tablet,Purchase Error Message,C. Education,null,null,null,null,0,null,null,null,null,null,null,4,16,D-6
11848,0,Fire Tv / Stick,Software Issue,System,Troubleshooting Resolved Issue,null,null,null,null,1,0,null,null,null,null,null,2,12,D-27
6458,1,Content,Book Syncing & Download Issues,Missing From Cloud/Archived Items,Undetermined - Filed Tt,null,null,null,null,1,null,null,null,null,null,null,0,18,D-70
9337,0,Kindle Tablet Apps,Other Pre-Loaded Apps,Audible,C. Education - Basic Functions,null,null,null,null,1,0.8,0.414294759,100,0,0,0,1,16,D-70
10508,0,Freetime,Freetime Unlimited / Subscription,Refund,null,null,null,null,null,1,0.05,null,null,null,null,null,4,12,D-70
4014,0,Content,Content Returns / Refunds,Accidental Order,Refunded,Amazon Devices And Kindle Apps,Kindle Fire Tablet,Something else,null,1,0.55,null,null,null,null,null,1,12,D-29
7705,0,Content,Basic Info / How-To,Basic Navigation,C. Education - Archived Download To Home,null,null,null,null,0,0,null,null,null,null,null,3,10,D-51
1308,0,Content,Content Returns / Refunds,Accidental Order,Refunded,null,null,null,null,0,0,0.308300847,33.33,16.66,0,0,2,16,D-46
9409,0,Content,Kindle Unlimited,C. Education,General Info,Amazon Devices And Kindle Apps,Kindle Fire Tablet,Kindle eBooks and Newsstand,Problems downloading content,1,0,0.205320303,0,0,0,0,3,13,D-16
1786,0,Content,Periodicals & Newsstand,Cancelling Trial Or Subscription,Cancelled Subscription,null,null,null,null,0,0,0.165075511,0,0,-1,0,3,8,D-70
5339,0,Amazon Instant Video,Content,Refund Request,Approved,Order Related,More order issues,Other order question or issue,null,1,0.5,null,null,null,null,null,6,12,D-27
13145,1,Kindle Tablet,Accessibility,C. Education - Turn Off Accessibility Features,null,Carnac Suggested,Amazon Devices,Kindle E-reader,null,0,null,null,null,null,null,null,3,14,D-70
2026,0,Wms / Order Support / Edge-Cases,Charge Related Inquiries,Unknown Charge,C. Education - Identified Order,null,null,null,null,1,0.9,null,null,null,null,null,5,6,D-10
8908,0,Replaced Device,Software Issue,Powering On Device,Unknown Cause,Returns And Refunds Support,null,null,null,0,1.3,null,null,null,null,null,3,14,D-45
10391,0,Kindle Tablet,Device Return,Did Not Meet Expectations,Processed Return,Carnac Suggested,Amazon Devices,Fire Tablet,null,0,0,null,null,null,null,null,3,12,D-25
8683,0,Content,"Lend, Borrow And Rent",Owners Lending Library Prime,Accidental Borrow - Increment Loan Allowance,null,null,null,null,1,0.45,null,null,null,null,null,4,18,D-31
5308,0,Kindle Tablet,Physical Damage/Defect,Volume Rocker Defective,Asked Customer To Call,null,null,null,null,1,1.15,0.165075511,0,0,-1,0,3,21,D-50
12141,0,Content,Kindle Unlimited,Payment / Subscription Issues,Uknown $9.99 Charge -Kindle Unlimted Membership Fee.,null,null,null,null,0,0,null,null,null,null,null,0,10,D-70
2,0,Content,Personal Documents,Corrupt - Won'T Open,Info Requested / Instructions Sent,Non-order related,Fire Device,Device Freezing,null,1,2,null,null,null,null,null,1,6,D-46
2464,1,Kindle Tablet,Wireless Connection  Wi-Fi,Won'T Connect To Network,Asked Customer To Call,Order Related,Wheres my stuff?,Check status of order,null,1,0,null,null,null,null,null,1,12,D-28
2727,0,Account Assistance / Mycd Settings,Device Registration Assistance,Registering Kindle To Account,C. Education - Registration Info Provided,null,null,null,null,0,2,null,null,null,null,null,1,8,D-11
12090,0,Content,Content Returns / Refunds,Accidental Order,Refunded,null,null,null,null,1,0.4,null,null,null,null,null,2,8,D-17
6372,0,Reading App,Basic Info / How-To,Register,C. Education - Registration Info Provided,null,null,null,null,1,0.1,0.374049967,100,0,-1,0,5,8,D-14
